%time,field.theta,field.phi,field.psi,field.theta_dot,field.phi_dot,field.psi_dot,field.psi_gyro_integration,field.dt,field.succ_read
1468016159405842065,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.5263235569,0.00111340603326,1
1468016159406831979,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.526209294796,0.00128698803019,1
1468016159408459901,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.526061117649,0.00166873401031,1
1468016159409038066,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.526011168957,0.000562369998079,1
1468016159410223960,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.525903701782,0.00120940501802,1
1468016159411202907,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.525813519955,0.00101586501114,1
1468016159412389039,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.525710880756,0.00115557294339,1
1468016159413356065,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.52562302351,0.000989116029814,1
1468016159414695978,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.525511324406,0.00125782098621,1
1468016159415796995,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.525411963463,0.0011191139929,1
1468016159416960954,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.525302410126,0.00123394699767,1
1468016159418011903,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.525212168694,0.00101561495103,1
1468016159419118881,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.525113046169,0.00111648894381,1
1468016159420177936,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.525016248226,0.00108999002259,1
1468016159421360015,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.524916112423,0.00112744804937,1
1468016159422480106,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.524815618992,0.00113107298966,1
1468016159423619985,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.524713814259,0.00114669697359,1
1468016159424743890,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.52461707592,0.00108923995867,1
1468016159425880908,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.524516761303,0.00112898997031,1
1468016159426928043,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.524417161942,0.00112153100781,1
1468016159428056955,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.524316430092,0.00113469804637,1
1468016159429188966,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.524217188358,0.0011173649691,1
1468016159430314064,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.524116873741,0.00112961395644,1
1468016159431359052,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.524027705193,0.00100436597131,1
1468016159432529926,3.28125,-1.3125,0.00729370117188,-7.99292755127,-8.98377227783,-2.27706861496,0.52391821146,0.00123290496413,1
1468016159476834058,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.524824023247,0.0439955443144,1
1468016159477812051,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.524847507477,0.00114061497152,1
1468016159478862047,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.52487039566,0.00111224001739,1
1468016159480027914,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.524893641472,0.00112715596333,1
1468016159481174945,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.524917185307,0.00114282302093,1
1468016159482245922,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.524939656258,0.00109278201126,1
1468016159483469963,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.524965524673,0.00125473795924,1
1468016159484503030,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.524986565113,0.0010222409619,1
1468016159485672950,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.525009691715,0.00112149002962,1
1468016159487229108,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.525042653084,0.00160081801005,1
1468016159487873077,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.525055646896,0.000631703005638,1
1468016159488971948,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.525078952312,0.00113299000077,1
1468016159490279912,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.525105059147,0.00126590498257,1
1468016159491843938,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.525137126446,0.00155723595526,1
1468016159492413043,3.28125,-1.34375,0.00729370117188,-4.24292755127,9.75122833252,0.527931451797,0.525148570538,0.000556327984668,1
